Year,Month Name,Region Office Name,Dealer Name (Revised),Product Name,Total Sales
2024,January,ROS,ASHRAF MOTORS,ALTO,14
2024,January,ROS,ASHRAF MOTORS,SWIFT,1
2024,January,ROS,CARACHI MOTOR,ALTO,52
2024,January,ROS,CARACHI MOTOR,SWIFT,8
2024,January,ROS,CHAMPION MOTORS,ALTO,24
2024,January,ROS,CHAMPION MOTORS,SWIFT,7
2024,January,ROS,CSD,ALTO,2
2024,January,ROS,DANISH MOTORS,ALTO,38
2024,January,ROS,DANISH MOTORS,SWIFT,4
2024,January,ROS,DEFENCE MOTORS,ALTO,45
2024,January,ROS,DEFENCE MOTORS,SWIFT,8
2024,January,ROS,GM MOTORS,ALTO,30
2024,January,ROS,GM MOTORS,SWIFT,2
2024,January,ROS,GWADAR MOTORS,ALTO,7
2024,January,ROS,GWADAR MOTORS,SWIFT,2
2024,January,ROS,HIGHWAY MOTORS,ALTO,16
2024,January,ROS,HIGHWAY MOTORS,SWIFT,6
2024,January,ROS,HUB MOTORS,ALTO,7
2024,January,ROS,HUB MOTORS,SWIFT,1
2024,January,ROS,I.G. MOTORS,ALTO,32
2024,January,ROS,I.G. MOTORS,SWIFT,8
2024,January,ROS,INTERNATIONAL MOTORS,ALTO,15
2024,January,ROS,INTERNATIONAL MOTORS,SWIFT,2
2024,January,ROS,ITTEHAD MOTORS,ALTO,16
2024,January,ROS,ITTEHAD MOTORS,SWIFT,3
2024,January,ROS,JACOBABAD MOTORS,ALTO,37
2024,January,ROS,JACOBABAD MOTORS,SWIFT,7
2024,January,ROS,JINNAH AVENUE MOTORS,ALTO,30
2024,January,ROS,JINNAH AVENUE MOTORS,SWIFT,4
2024,January,ROS,KASHMORE MOTORS,ALTO,10
2024,January,ROS,KHALIL MOTORS,ALTO,11
2024,January,ROS,KHALIL MOTORS,SWIFT,2
2024,January,ROS,LARKANA MOTORS,ALTO,19
2024,January,ROS,LARKANA MOTORS,SWIFT,8
2024,January,ROS,MALIR CANTT MOTORS,ALTO,18
2024,January,ROS,MALIR CANTT MOTORS,SWIFT,4
2024,January,ROS,MANDVIWALLA MOTORS,ALTO,36
2024,January,ROS,MANDVIWALLA MOTORS,SWIFT,12
2024,January,ROS,MARGALLA MOTORS,ALTO,39
2024,January,ROS,MARGALLA MOTORS,SWIFT,4
2024,January,ROS,MEHRAN MOTORS,ALTO,37
2024,January,ROS,MEHRAN MOTORS,SWIFT,16
2024,January,ROS,MORO MOTORS,ALTO,35
2024,January,ROS,MORO MOTORS,SWIFT,5
2024,January,ROS,NASEER AUTOS,ALTO,57
2024,January,ROS,NASEER AUTOS,SWIFT,10
2024,January,ROS,NAWABSHAH MOTORS,ALTO,25
2024,January,ROS,NAWABSHAH MOTORS,SWIFT,4
2024,January,ROS,PQM MOTORS,ALTO,20
2024,January,ROS,PQM MOTORS,SWIFT,3
2024,January,ROS,QUETTA MOTORS,ALTO,5
2024,January,ROS,RIAZ MOTORS,ALTO,36
2024,January,ROS,RIAZ MOTORS,SWIFT,2
2024,January,ROS,SANGHAR MOTORS,ALTO,10
2024,January,ROS,SANGHAR MOTORS,SWIFT,1
2024,January,ROS,SNA MOTORS,ALTO,11
2024,January,ROS,SNA MOTORS,SWIFT,4
2024,January,ROS,SUKKUR MOTORS,ALTO,17
2024,January,ROS,SUKKUR MOTORS,SWIFT,1
2024,January,ROS,SUZUKI MOTORWAYS,ALTO,30
2024,January,ROS,SUZUKI MOTORWAYS,SWIFT,16
2024,January,ROS,SUZUKI SOUTH,ALTO,49
2024,January,ROS,SUZUKI SOUTH,SWIFT,12
2024,January,ROS,TANDO ALLAH YAR MOTORS,ALTO,21
2024,January,ROS,TANDO ALLAH YAR MOTORS,SWIFT,7
2024,January,ROS,THARPARKAR MOTORS,ALTO,26
2024,January,ROS,THARPARKAR MOTORS,SWIFT,16
2024,January,ROS,ZEESHAN AUTOS,ALTO,24
2024,January,ROS,ZEESHAN AUTOS,SWIFT,4
2024,February,ROS,ASHRAF MOTORS,ALTO,12
2024,February,ROS,CARACHI MOTOR,ALTO,42
2024,February,ROS,CARACHI MOTOR,SWIFT,15
2024,February,ROS,CHAMPION MOTORS,ALTO,35
2024,February,ROS,CHAMPION MOTORS,SWIFT,10
2024,February,ROS,DANISH MOTORS,ALTO,69
2024,February,ROS,DANISH MOTORS,SWIFT,15
2024,February,ROS,DEFENCE MOTORS,ALTO,45
2024,February,ROS,DEFENCE MOTORS,SWIFT,9
2024,February,ROS,GM MOTORS,ALTO,33
2024,February,ROS,GM MOTORS,SWIFT,2
2024,February,ROS,GWADAR MOTORS,ALTO,7
2024,February,ROS,GWADAR MOTORS,SWIFT,1
2024,February,ROS,HIGHWAY MOTORS,ALTO,24
2024,February,ROS,HIGHWAY MOTORS,SWIFT,4
